Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Agent_number,Added_on,Updated_on
3 bedroom flat with bq,Lekki Phase1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-phase1-lekki-lagos-4GAEF,Lagos,Lekki,4500000,3,3,8168064058,05 Feb 2022,20 Feb 2022
newly built 3 bedroom fully serviced with 247,"Lekki County , Megamond Estate , Ikota Ikota Lekki Lagos",https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-county-megamond-estate-ikota-ikota-lekki-lagos-1FZDD,Lagos,Lekki,3300000,4,3,8168064058,29 Jan 2022,20 Feb 2022
executive 3 bedroom flat,Magodo Gra Phase 1 Ojodu Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-magodo-gra-phase-1-ojodu-lagos-4GCDU,Lagos,Ojodu,1000000,3,4,9068622049,20 Feb 2022,20 Feb 2022
spacious 3 bedroom terrace duplex,Oral Estate Ikota Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-oral-estate-ikota-lekki-lagos-9FZNM,Lagos,Lekki,3000000,3,3,8168064058,01 Feb 2022,20 Feb 2022
mini flat,Ligali Street Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ligali-street-ligali-ayorinde-victoria-island-lagos-3GCDU,Lagos,Island,1500000,1,1,8086267650,20 Feb 2022,20 Feb 2022
newly built 3 bedroom apartment,"Peace Estate, Baruwa Ipaja Lagos",https://www.propertypro.ng/property/3-bedroom-house-for-rent-peace-estate-baruwa-ipaja-lagos-5FZXD,Lagos,Ipaja,900000,3,3,9041431420,03 Feb 2022,20 Feb 2022
4 bedroom terrace duplex,Ikate Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-ikate-lekki-lagos-6GBZN,Lagos,Lekki,7500000,4,4,7065203121,19 Feb 2022,20 Feb 2022
self serviced room self contained,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-oniru-victoria-island-lagos-0GCDU,Lagos,Island,800000,1,1,9029604948,20 Feb 2022,20 Feb 2022
a room self contain,Oniru Estate Off Palace Road Oniru Victoria Island Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-oniru-estate-off-palace-road-oniru-victoria-island-lagos-5GCDT,Lagos,Island,800000,1,1,8086267650,20 Feb 2022,20 Feb 2022
3bedroom flat,Lady Lak Area Bariga Shomolu Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lady-lak-area-bariga-shomolu-lagos-2GCDS,Lagos,Shomolu,700000,3,2,8182030653,20 Feb 2022,20 Feb 2022
room self,Makoko Iwaya Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-makoko-iwaya-yaba-lagos-8GCDR,Lagos,Yaba,250000,1,1,8182030653,20 Feb 2022,20 Feb 2022
brand new 1 bedroom mini flat,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-6GCDR,Lagos,Lekki,1800000,1,1,9029604948,20 Feb 2022,20 Feb 2022
fully serviced 2 bedroom flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-5GCDQ,Lagos,Lekki,4000000,2,2,8137224561,20 Feb 2022,20 Feb 2022
2bedroom flat,Opic Isheri North Ojodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-opic-isheri-north-ojodu-lagos-8GCDP,Lagos,Ojodu,1300000,2,2,9039408141,20 Feb 2022,20 Feb 2022
spacious first floor 3 bedroom flat,Mega Estate Badore Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-mega-estate-badore-ajah-lagos-2GCDN,Lagos,Ajah,1200000,3,3,7086062023,20 Feb 2022,20 Feb 2022
brand new 3bedroom fully serviced flat,Lekki Right Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-right-lekki-phase-1-lekki-lagos-1GCDN,Lagos,Lekki,5000000,3,3,8168064058,20 Feb 2022,20 Feb 2022
newly built studio self contain,Ologolo Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ologolo-lekki-lagos-6GCDM,Lagos,Lekki,900000,1,1,7086062023,20 Feb 2022,20 Feb 2022
decent newly renovated mini flat boy's quarter,Adebola Ojomu Street Off Brown Road Aguda Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-adebola-ojomu-street-off-brown-road-aguda-surulere-lagos-3GCDM,Lagos,Surulere,650000,1,1,9060631614,20 Feb 2022,20 Feb 2022
executive 3 bedroom flat,Adetola Road Aguda Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-adetola-road-aguda-surulere-lagos-8GCDK,Lagos,Surulere,2000000,3,3,9060631614,20 Feb 2022,20 Feb 2022
newly built mini studio apartment,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-7GCDK,Lagos,Lekki,1800000,1,1,7086062023,20 Feb 2022,20 Feb 2022
self contain,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-7GBKS,Lagos,Lekki,1200000,1,1,9064090448,15 Feb 2022,20 Feb 2022
2bedroom flat,Osapa London Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-osapa-london-lekki-lagos-4GBLF,Lagos,Lekki,2000000,2,2,9064090448,15 Feb 2022,20 Feb 2022
3bedroom flat,Not Far From The Express Flood Free Igbo Efon Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-not-far-from-the-express-flood-free-igbo-efon-lekki-lagos-4GBRW,Lagos,Lekki,1600000,3,2,9064090448,16 Feb 2022,20 Feb 2022
well maintained 2 bedroom flat,Glorious Estate Badore Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-glorious-estate-badore-ajah-lagos-1FUSU,Lagos,Ajah,800000,2,2,7086062023,15 Dec 2021,20 Feb 2022
newly built room self contain,Akoka Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-akoka-yaba-lagos-0GCDH,Lagos,Yaba,400000,1,1,8125135974,20 Feb 2022,20 Feb 2022
mini flat,Off Ogunlana Drive Ogunlana Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-ogunlana-drive-ogunlana-surulere-lagos-8GCDE,Lagos,Surulere,1200000000,1,2,8038428911,20 Feb 2022,20 Feb 2022
3 bedrooms block of flat,Gaduwa Axis Gaduwa Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-gaduwa-axis-gaduwa-abuja-5GCDE,Abuja,Gaduwa,1700000,3,4,8067992859,20 Feb 2022,20 Feb 2022
newly built fully detached 5 bedroom house +bq+ cinema+ swimming pool+elevator,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-sale-old-ikoyi-old-ikoyi-ikoyi-lagos-4FWCP,Lagos,Ikoyi,850000000,5,5,8124269637,04 Jan 2022,24 Feb 2022
3 bedrooms detached bungalow,Life Camp Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-life-camp-abuja-3GCDE,Abuja,Camp,2000000,3,4,8067992859,20 Feb 2022,20 Feb 2022
4 bedroom terrace duplex with a bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-4GCDC,Lagos,Lekki,5000000,4,4,8168064058,20 Feb 2022,20 Feb 2022
very spacious 3bedroom,Near Chrisland College Idimu Egbe Idimu Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-near-chrisland-college-idimu-egbe-idimu-lagos-5GCCY,Lagos,Idimu,900000,3,4,8100078046,20 Feb 2022,20 Feb 2022
brand new two bedroom flat,Near Chrisland College Idimu Egbe Idimu Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-near-chrisland-college-idimu-egbe-idimu-lagos-9GCCX,Lagos,Idimu,700000,2,3,8100078046,20 Feb 2022,20 Feb 2022
newly built sharp spacious 3 bedroom all rooms ensuits with prepaid meters.,Off Aiyelegun Road Bucknor. Bucknor Isolo Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-off-aiyelegun-road-bucknor-bucknor-isolo-lagos-0FYTZ,Lagos,Isolo,900000,3,3,8024797724,26 Jan 2022,20 Feb 2022
newly built four bedroom duplex,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-sangotedo-ajah-lagos-6GCCT,Lagos,Ajah,3500000,4,5,9011819900,20 Feb 2022,20 Feb 2022
mini flat,Agungi Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-agungi-lekki-lagos-8GCCR,Lagos,Lekki,1300000,1,1,8037423909,20 Feb 2022,20 Feb 2022
2 bedroom bungalow,Jakande Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-jakande-lekki-lagos-3GCCR,Lagos,Lekki,2000000,2,2,8037423909,20 Feb 2022,20 Feb 2022
newly built 2bedroom flat,Ada George Port Harcourt Rivers,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ada-george-port-harcourt-rivers-9GCCP,Rivers,Harcourt,700000,2,3,7062360342,20 Feb 2022,20 Feb 2022
spacious room self contain,Abisola Olayinka Street Soluyi Gbagada Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-abisola-olayinka-street-soluyi-gbagada-lagos-6GCCP,Lagos,Gbagada,350000,1,1,8143462848,20 Feb 2022,20 Feb 2022
newly built 2 bedrooms flat,Ipaja Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ipaja-ipaja-lagos-5GCCP,Lagos,Ipaja,700000,2,2,7011526537,20 Feb 2022,20 Feb 2022
high class 3 bedroom apartment + bq+ tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,20000000,3,3,8124269637,20 Jan 2022,24 Feb 2022
newly built 2 bedrooms flat,Baruwa Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-baruwa-ipaja-lagos-0GBNW,Lagos,Ipaja,800000,2,2,7011526537,15 Feb 2022,20 Feb 2022
"very decent mini flat @ tasty time off akinyele bus stop ipaja, ayobo ipaja lcda lagos",Ipaja Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ipaja-lagos-7GBQC,Lagos,Ipaja,450000,1,1,7011526537,16 Feb 2022,20 Feb 2022
"very decent mini flat @ c zone off mosan bus stop, ipaja road, shagari estate alimosho lga lagos",Alimosho Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-alimosho-lagos-9GBSM,Lagos,Alimosho,500000,1,1,7011526537,17 Feb 2022,20 Feb 2022
finished self contained,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-7GCCN,Lagos,Lekki,900000,1,1,7065454863,20 Feb 2022,20 Feb 2022
finished one bedroom flat,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-9GCCM,Lagos,Lekki,1800000,1,1,7065454863,20 Feb 2022,20 Feb 2022
newly built 4bedroom semi detached duplex,An Estate In Agungi Agungi Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-an-estate-in-agungi-agungi-lekki-lagos-8GBRJ,Lagos,Lekki,4500000,4,4,8071657170,16 Feb 2022,20 Feb 2022
3bedroom flat,Van Daniel Orchid Road Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-van-daniel-orchid-road-lekki-lagos-3GBNZ,Lagos,Lekki,2300000,3,3,8071657170,15 Feb 2022,20 Feb 2022
decent three bedroom flat with,White House At Command Abule Egba Abule Egba Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-white-house-at-command-abule-egba-abule-egba-lagos-6FYSG,Lagos,Egba,600000,3,3,8100078046,26 Jan 2022,20 Feb 2022
newly built studio apartment,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-4GCCM,Lagos,Lekki,1200000,1,1,9051793930,20 Feb 2022,20 Feb 2022
brand new mini flat,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-3GCCM,Lagos,Lekki,2000000,1,1,9051793930,20 Feb 2022,20 Feb 2022
standard self compound warehouse,Akala Express Ibadan Oyo,https://www.propertypro.ng/property/commercial-property-for-rent-akala-express-ibadan-oyo-0GCCM,Oyo,Ibadan,15000000,1,1,8052778232,20 Feb 2022,20 Feb 2022
brand new 2bedroom flat,Ikate Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ikate-lekki-lagos-0GCCK,Lagos,Lekki,3500000,2,3,9053588424,20 Feb 2022,20 Feb 2022
4 bedroom terrace duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-4FZPY,Lagos,Lekki,3000000,4,4,8060140819,01 Feb 2022,20 Feb 2022
spacious 2 and 3 bedroom flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-9FZTB,Lagos,Lekki,3500000,3,3,8060140819,02 Feb 2022,20 Feb 2022
luxury 5 bedroom detached duplex,Agungi Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-agungi-lekki-lagos-5FZWN,Lagos,Lekki,6000000,5,5,8060140819,03 Feb 2022,20 Feb 2022
luxury bq mini flat,Off Admiralty Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-admiralty-lekki-phase-1-lekki-lagos-0GCCE,Lagos,Lekki,2400000,1,1,9011819900,20 Feb 2022,20 Feb 2022
self service 3bedroom,Ikota Villa Beside Mega Chicken Ikota Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikota-villa-beside-mega-chicken-ikota-lekki-lagos-7GCCD,Lagos,Lekki,2000000,1,3,8071657170,20 Feb 2022,20 Feb 2022
luxury mini flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-1GCCD,Lagos,Lekki,1900000,1,1,9011819900,20 Feb 2022,20 Feb 2022
luxury mini flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-2GCCD,Lagos,Lekki,1900000,1,1,9011819900,20 Feb 2022,20 Feb 2022
newly built three bedroom flat,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-sangotedo-ajah-lagos-8GCCC,Lagos,Ajah,1700000,3,4,9011819900,20 Feb 2022,20 Feb 2022
spacious 1 bedroom apartment,New Road Igbo Efon Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-new-road-igbo-efon-lekki-lagos-5GCCB,Lagos,Lekki,1200000,1,1,8057121358,20 Feb 2022,20 Feb 2022
terrace 4bedroom duplex with b/q,"Karmo District, After Nizamiye Hospital Karmo Abuja",https://www.propertypro.ng/property/4-bedroom-house-for-rent-karmo-district-after-nizamiye-hospital-karmo-abuja-4GCCB,Abuja,Karmo,4000000,4,4,7067964004,20 Feb 2022,20 Feb 2022
renovated three bedroom flat,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-sangotedo-ajah-lagos-5GCCA,Lagos,Ajah,1400000,3,4,9011819900,20 Feb 2022,20 Feb 2022
furnished 5bedroom detached duplex with bq,Maitama District Maitama Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-maitama-district-maitama-abuja-9GCBX,Abuja,Maitama,15000000,5,5,9052654781,20 Feb 2022,20 Feb 2022
newly built 3 bedroom flat,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-sangotedo-ajah-lagos-8GCBX,Lagos,Ajah,1600000,3,3,8137224561,20 Feb 2022,20 Feb 2022
decent 3 bedroom flat,Lakeview Estate Apple Junction Amuwo Odofin Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lakeview-estate-apple-junction-amuwo-odofin-lagos-6GCBX,Lagos,Odofin,1500000,3,3,9028929744,20 Feb 2022,20 Feb 2022
spacious mini flat,Iyana Ipaja Ipaja Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-iyana-ipaja-ipaja-lagos-2GCBX,Lagos,Ipaja,400000,1,2,7040702569,20 Feb 2022,20 Feb 2022
2 bedroom flat,"Edun, Aboru Iyana Ipaja Ipaja Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-edun-aboru-iyana-ipaja-ipaja-lagos-0GCBX,Lagos,Ipaja,350000,2,2,8147982002,20 Feb 2022,20 Feb 2022
spacious 5bedroom fully detached duplex with 2room bq,Katampe District Katampe Main Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-katampe-district-katampe-main-abuja-9GCBW,Abuja,Main,7000000,5,5,9052654781,20 Feb 2022,20 Feb 2022
"brand new, exquisitely finished 5 bedroom detached duplex with swimming pool","Northern Foreshore Estate, Ikota Lekki Lagos",https://www.propertypro.ng/property/5-bedroom-house-for-sale-northern-foreshore-estate-ikota-lekki-lagos-5FTPR,Lagos,Lekki,300000000,5,5,7057302511,04 Dec 2021,24 Feb 2022
serviced 3bedroom flat with 1bq,Maitama District Maitama Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-maitama-district-maitama-abuja-8GCBV,Abuja,Maitama,8500000,3,3,9052654781,20 Feb 2022,20 Feb 2022
spacious 3bedroom flat,Jahi District Jahi Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-jahi-district-jahi-abuja-0GCBV,Abuja,Jahi,2500000,3,3,9052654781,20 Feb 2022,20 Feb 2022
wonderful 2 bedroom flat,Canal Estate Ago Palace Okota Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-canal-estate-ago-palace-okota-lagos-9FZFT,Lagos,Okota,800000,2,2,8061661410,30 Jan 2022,20 Feb 2022
fantastic 2 bedroom flat to let,Market Square Ago Palace Okota Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-market-square-ago-palace-okota-lagos-6FZDQ,Lagos,Okota,900000,2,2,8061661410,29 Jan 2022,20 Feb 2022
luxury 2 bedroom flat,Lord Chosen Ago Palace Okota Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lord-chosen-ago-palace-okota-lagos-8FZFU,Lagos,Okota,1000000,2,2,8061661410,30 Jan 2022,20 Feb 2022
executive 3 bedroom flat,Bucknor Estate Bucknor Isolo Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-bucknor-estate-bucknor-isolo-lagos-5GCBU,Lagos,Isolo,700000,3,3,8061661410,20 Feb 2022,20 Feb 2022
2 bedroom terrace with bq and pool,Ikate Ikate Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ikate-ikate-lekki-lagos-5GBQK,Lagos,Lekki,4500000,2,2,8038125965,16 Feb 2022,20 Feb 2022
luxurious 3 bedroom flat,Oniru Oniru Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-oniru-oniru-victoria-island-lagos-5GBWB,Lagos,Island,3500000,3,3,8038125965,18 Feb 2022,20 Feb 2022
newly built 2 bedroom flat,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-sangotedo-ajah-lagos-8GCBS,Lagos,Ajah,1500000,2,2,8137224561,19 Feb 2022,19 Feb 2022
newly built miniflat,Abijo Ajah Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-abijo-ajah-lagos-7GCBS,Lagos,Ajah,750000,1,1,8137224561,19 Feb 2022,19 Feb 2022
brand new mini flat,Berger Ojodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-berger-ojodu-lagos-2GCBN,Lagos,Ojodu,700000,1,1,9068622049,19 Feb 2022,19 Feb 2022
recently renovated city view 4 bedroom apartment + bq + gym + tennis court + squash + pool+gym etc in ocean parade banana island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,12000000,4,4,8124269637,23 Dec 2021,24 Feb 2022
luxury 3 bedroom en suite apartment,Off Freedom Way Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-off-freedom-way-lekki-phase-1-lekki-lagos-2GCBR,Lagos,Lekki,4000000,3,3,8164687732,19 Feb 2022,19 Feb 2022
1 bedroom flat,Dawaki Gwarinpa Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-dawaki-gwarinpa-abuja-5GCBN,Abuja,Gwarinpa,600000,1,1,8067992859,19 Feb 2022,19 Feb 2022
executive mini flat,Berger Ojodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-berger-ojodu-lagos-8GCBM,Lagos,Ojodu,600000,1,2,9068622049,19 Feb 2022,19 Feb 2022
executive 2 bedroom flat,Berger Ojodu Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-berger-ojodu-lagos-6GCBL,Lagos,Ojodu,600000,2,3,9068622049,19 Feb 2022,19 Feb 2022
newly built luxury 4 bedroom terrace duplex plus a room bq,Lekki Right Side Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-right-side-lekki-phase-1-lekki-lagos-0FVGQ,Lagos,Lekki,8000000,4,4,8164687732,21 Dec 2021,19 Feb 2022
luxury 2 bedroom s en suite apartment,Lekki Right Side Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lekki-right-side-lekki-phase-1-lekki-lagos-6GCBJ,Lagos,Lekki,2500000,2,2,8164687732,19 Feb 2022,19 Feb 2022
very spacious 3 bedroom flat,Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-lagos-1GCBJ,Lagos,Lekki,2500000,3,4,7047265825,19 Feb 2022,19 Feb 2022
newly and spaciously built 3 bedroom ensuite apartment,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-sangotedo-ajah-lagos-7GCBF,Lagos,Ajah,1500000,3,3,7088387174,19 Feb 2022,19 Feb 2022
4 bedrooms duplex + 2 bedrooms flat,"Alaba Street, Car Wash Bustop Oworo Oworonshoki Gbagada Lagos",https://www.propertypro.ng/property/4-bedroom-house-for-sale-alaba-street-car-wash-bustop-oworo-oworonshoki-gbagada-lagos-1EUMZ,Lagos,Gbagada,18000000,4,4,8050606090,05 Jun 2021,24 Feb 2022
newly built 2 bedrooms apartment,Larry Oluyole Ibadan Oyo,https://www.propertypro.ng/property/flat-apartment-for-rent-larry-oluyole-ibadan-oyo-1GASJ,Oyo,Ibadan,800000,2,2,8052778232,09 Feb 2022,19 Feb 2022
newly built tastefully 2 bedroom flat with 247 electricity,Asaaju Estate Akala Express Ibadan Oyo,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-asaaju-estate-akala-express-ibadan-oyo-0GBAK,Oyo,Ibadan,600000,4,2,8052778232,11 Feb 2022,19 Feb 2022
4 bedroom duplex,"Orange Gate, Oluyole Estate Ibadan Oyo",https://www.propertypro.ng/property/house-for-rent-orange-gate-oluyole-estate-ibadan-oyo-0GBLS,Oyo,Ibadan,1400000,4,4,8052778232,15 Feb 2022,19 Feb 2022
newly built 2 bedroom flat,Asaaju Estate Liberty Academy Ibadan Oyo,https://www.propertypro.ng/property/flat-apartment-for-rent-asaaju-estate-liberty-academy-ibadan-oyo-2GBLS,Oyo,Ibadan,600000,2,2,8052778232,15 Feb 2022,19 Feb 2022
newly built topnotch 2 units of 3 bedroom flats,Pyakassa Lugbe Lugbe Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-pyakassa-lugbe-lugbe-abuja-8GAXV,Abuja,Lugbe,2000000,3,3,8032186712,11 Feb 2022,19 Feb 2022
250sqm office space\,Oba Akran Oba Akran Ikeja Lagos,https://www.propertypro.ng/property/7-bedroom-commercial-property-for-rent-oba-akran-oba-akran-ikeja-lagos-3GCBD,Lagos,Ikeja,15000000,5,8,8022292982,19 Feb 2022,19 Feb 2022
3 bedroom flat,Mopol Junction Gbetu Rd By Mayfair Garden Awoyaya Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-mopol-junction-gbetu-rd-by-mayfair-garden-awoyaya-ajah-lagos-0FWYU,Lagos,Ajah,750000,3,3,9090860113,12 Jan 2022,19 Feb 2022
4bedroom detached duplex,Macospolo Estate Gwarinpa Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-macospolo-estate-gwarinpa-abuja-1GBRU,Abuja,Gwarinpa,6500000,4,4,9077777329,16 Feb 2022,19 Feb 2022
spacious and clean room self contain,"Peace Estate, Soluyi Gbagada Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-peace-estate-soluyi-gbagada-lagos-4GCBB,Lagos,Gbagada,370000,1,1,7085590599,19 Feb 2022,19 Feb 2022
brand new 4 bedroom terrace duplex with a bq,Elegushi Jakande Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-elegushi-jakande-lekki-lagos-6GCAZ,Lagos,Lekki,6000000,4,4,8037423909,19 Feb 2022,19 Feb 2022
waterfront 3 bedroom apartment +bq + swimming pool + sauna + gym + underground parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,16100000,3,3,8124269637,21 Jan 2022,24 Feb 2022
newly built 2 bedroom apartment,Ipaja Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ipaja-ipaja-lagos-4GCAY,Lagos,Ipaja,500000,2,3,7040702569,19 Feb 2022,19 Feb 2022
newly built 2bedroom flat,New Road Beside Mayfair Garden Estate Awoyaya Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-new-road-beside-mayfair-garden-estate-awoyaya-ajah-lagos-8GCAX,Lagos,Ajah,900000,2,2,8032056377,19 Feb 2022,19 Feb 2022
5 bedroom fully detached duplex with a bq,Osapa London Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-3GCAX,Lagos,Lekki,5000000,5,5,8037423909,19 Feb 2022,19 Feb 2022
newly built 2bedroom flat,Abijo Gra Abijo Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-abijo-gra-abijo-ajah-lagos-8GCAU,Lagos,Ajah,800000,2,2,8168285322,19 Feb 2022,19 Feb 2022
